section,artifact,true_label,strip_level,predicted_label,correct,derivative_calls_per_step,rk4_weighted_combination,detected_lock_markers,pair_id,label_a,label_b,identical_code,detector_prediction,expected_chance_behavior,code_hash,match_a,match_b
f1_integration,euler_m0.py,euler,raw,euler,true,1,False,,,,,,,,,,
f1_integration,euler_m0.py,euler,no_comments,euler,true,1,False,,,,,,,,,,
f1_integration,euler_m0.py,euler,renamed,euler,true,1,False,,,,,,,,,,
f1_integration,euler_m0.py,euler,no_imports,euler,true,1,False,,,,,,,,,,
f1_integration,euler_m0.py,euler,format_normalized,euler,true,1,False,,,,,,,,,,
f1_integration,rk4_m1.py,rk4,raw,rk4,true,4,True,,,,,,,,,,
f1_integration,rk4_m1.py,rk4,no_comments,rk4,true,4,True,,,,,,,,,,
f1_integration,rk4_m1.py,rk4,renamed,rk4,true,4,True,,,,,,,,,,
f1_integration,rk4_m1.py,rk4,no_imports,rk4,true,4,True,,,,,,,,,,
f1_integration,rk4_m1.py,rk4,format_normalized,rk4,true,4,True,,,,,,,,,,
f2_lock,counter_no_lock.py,no_lock,raw,no_lock,true,,,,,,,,,,,,
f2_lock,counter_no_lock.py,no_lock,no_comments,no_lock,true,,,,,,,,,,,,
f2_lock,counter_no_lock.py,no_lock,renamed,no_lock,true,,,,,,,,,,,,
f2_lock,counter_no_lock.py,no_lock,no_imports,no_lock,true,,,,,,,,,,,,
f2_lock,counter_no_lock.py,no_lock,format_normalized,no_lock,true,,,,,,,,,,,,
f2_lock,counter_no_lock.py,no_lock,lock_marker_strip,no_lock,true,,,,,,,,,,,,
f2_lock,counter_with_lock.py,locked,raw,locked,true,,,regex:\bthreading\.Lock\b;regex:\bLock\s*\(;ast:lock_instantiation,,,,,,,,,
f2_lock,counter_with_lock.py,locked,no_comments,locked,true,,,regex:\bthreading\.Lock\b;regex:\bLock\s*\(;ast:lock_instantiation,,,,,,,,,
f2_lock,counter_with_lock.py,locked,renamed,locked,true,,,regex:\bthreading\.Lock\b;regex:\bLock\s*\(;ast:lock_instantiation,,,,,,,,,
f2_lock,counter_with_lock.py,locked,no_imports,locked,true,,,regex:\bthreading\.Lock\b;regex:\bLock\s*\(;ast:lock_instantiation,,,,,,,,,
f2_lock,counter_with_lock.py,locked,format_normalized,locked,true,,,regex:\bthreading\.Lock\b;regex:\bLock\s*\(;ast:lock_instantiation,,,,,,,,,
f2_lock,counter_with_lock.py,locked,lock_marker_strip,no_lock,false,,,,,,,,,,,,
f3_shuffled,,,,,,,,,pair_1,m0,m0,true,rk4,no_above_chance_signal,2c5950bf1e315348,false,false
f3_shuffled,,,,,,,,,pair_2,m0,m0,true,euler,no_above_chance_signal,cfd59c6abe41fcd1,true,true
