run,model,task_id,method,rep,strip_level,detected_method,ambiguous,unique_trace_count,traces,control_collapse,reason
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,raw,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,no_comments,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,renamed,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,no_imports,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,format_normalized,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,raw,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,no_comments,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,renamed,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,no_imports,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,format_normalized,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,3,raw,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,3,no_comments,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,3,renamed,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,3,no_imports,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,3,format_normalized,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,4,raw,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,4,no_comments,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,4,renamed,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,4,no_imports,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,4,format_normalized,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,5,raw,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,5,no_comments,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,5,renamed,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,5,no_imports,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,5,format_normalized,ambiguous,true,0,[],false,execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,1,raw,ambiguous,true,1,"[[""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""]]",true,invalid_outputs_or_failed_runs
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,1,no_comments,ambiguous,true,1,"[[""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""]]",true,invalid_outputs_or_failed_runs
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,1,renamed,ambiguous,true,1,"[[""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""]]",true,invalid_outputs_or_failed_runs
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,1,no_imports,ambiguous,true,1,"[[""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""]]",true,invalid_outputs_or_failed_runs
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,1,format_normalized,ambiguous,true,1,"[[""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""]]",true,invalid_outputs_or_failed_runs
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,2,raw,ambiguous,true,1,"[[""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""]]",true,invalid_outputs_or_failed_runs
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,randomized,2,no_comments,ambiguous,true,1,"[[""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""], [""D"", ""B"", ""H"", ""E"", ""C"", ""A"", ""F"", ""G""]]",true,invalid_outputs_or_failed_runs
